id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,cluster
75133,Solver,2026,2026.0,2,6.0,15,8,94,1,9,53,105,5,2,8.64,52,1
29058,Carcassonne: Edição do 20° Aniversário,2021,2021.0,2,5.0,45,7,758,87,94,541,831,3,1,8.64,363,1
21960,O Bom do Videogame,2023,2023.0,2,5.0,60,12,545,62,41,613,762,8,0,8.63,267,1
21122,Pax Pamir: Segunda Edição,2019,2022.0,1,5.0,120,14,617,109,105,737,963,10,0,8.63,342,1
16085,Teotihuacan: City of Gods,2018,2019.0,1,4.0,120,12,1540,328,184,977,2033,8,1,8.63,915,1
133,Ticket to Ride: Europa,2005,2015.0,2,5.0,60,8,6942,769,792,2833,6995,7,1,8.62,3595,0
77825,Everdell Farshore: Edição de Colecionador,2023,2025.0,1,4.0,80,10,219,16,12,108,223,4,1,8.62,62,1
62114,Fate: Defensores de Grimheim,2024,2025.0,1,4.0,180,14,796,48,72,681,803,10,0,8.62,246,1
66840,Azul Mini: Pavilhão de Verão,2024,2024.0,2,4.0,45,8,568,27,22,211,518,6,3,8.62,165,1
59347,Potion Rush,2025,2025.0,2,6.0,20,14,186,3,16,102,194,3,2,8.62,56,1
26735,Massive Darkness 2: Hellscape,2021,2022.0,1,6.0,60,14,549,53,71,617,301,7,2,8.62,153,1
8424,Mombasa,2015,2017.0,2,4.0,150,12,1080,404,136,988,1636,13,0,8.62,794,1
29986,Tiny Epic Dungeons,2021,2023.0,1,4.0,60,14,1969,207,193,1273,1264,8,2,8.61,579,1
366,Robinson Crusoé: Aventuras na Ilha Amaldiçoada,2012,2016.0,1,4.0,120,14,2587,882,399,2384,2619,19,0,8.61,1536,0
7333,As Viagens de Marco Polo,2015,2016.0,2,4.0,100,12,1801,575,344,1337,2963,9,1,8.61,1537,0
36576,Village: Big Box,2022,2023.0,1,5.0,120,12,378,69,41,376,512,6,0,8.6,191,1
9109,Grand Austria Hotel,2015,2018.0,2,4.0,90,12,1285,362,189,1213,1996,5,1,8.6,923,1
18167,Zombicide: Dark Side,2019,2020.0,1,6.0,60,14,263,45,17,303,119,6,2,8.6,69,1
64128,Oikos,2024,2024.0,2,6.0,60,14,296,25,20,186,386,10,2,8.6,132,1
98,Lords of Waterdeep,2012,2026.0,2,5.0,60,12,1789,386,449,2068,3427,8,0,8.6,1559,0
10425,Aeon's End,2016,2023.0,1,4.0,60,14,651,104,67,757,747,10,0,8.6,301,1
25929,Imperium: Lendas,2021,2022.0,1,4.0,120,12,517,98,31,250,305,2,1,8.6,185,1
6550,Orléans,2014,2017.0,2,4.0,90,12,1824,392,222,1087,2694,11,0,8.6,1204,0
25894,Cascadia,2021,2022.0,1,4.0,45,14,2109,237,210,1948,3391,2,2,8.59,1140,1
52890,Star Wars: Unlimited,2024,2024.0,2,4.0,20,12,113,12,8,92,133,4,2,8.59,47,1
62689,Faith Battle,2024,2024.0,2,8.0,30,8,146,7,14,39,46,1,1,8.59,35,1
1089,Tikal,1999,2018.0,2,4.0,90,10,1550,440,234,1625,2509,11,0,8.59,1178,0
28281,Sanduíche,2020,2020.0,2,6.0,10,7,132,8,7,60,121,2,1,8.57,50,1
27320,Unmatched: Chapeuzinho Vermelho vs. Beowulf,2020,2023.0,2,2.0,20,9,423,58,20,270,336,3,3,8.57,137,1
