place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJzxa3ji5HJ5URs8WzxbtamQ4,Wow Park,"Square SC - Rod. José Carlos Daux, 5500 - Saco Grande, Florianópolis - SC, 88032-005, Brazil",Florianópolis,so_termo_baixa_precisao,ludoteca,amusement_park;indoor_playground;playground;banquet_hall;event_venue;point_of_interest;establishment,4.9,1047,http://wowpark.com.br/,2026-09-01
ChIJNYmxsPeZpgARS_lAUcErAFI,Yakan,"Av. do Contorno, 5761 - Savassi, Belo Horizonte - MG, 30110-035, Brazil",Belo Horizonte,so_termo_baixa_precisao,quiz bar,japanese_restaurant;restaurant;point_of_interest;food;establishment,4.7,5650,http://www.yakan.com.br/,2026-09-01
ChIJ4-UGzLPxXpMR4o0cj80Rw8Y,Yolo Beer Garden,"R. 107, Q F32, 280 - St. Sul, Goiânia - GO, 74085-060, Brazil",Goiânia,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,4.1,912,https://www.instagram.com/yolobeergarden/,2026-09-01
ChIJ76ZKiYJ_mQAR2KMozJoLqjM,YouPlay,"Praia de Botafogo, 400 - Botafogo, Rio de Janeiro - RJ, 22250-040, Brazil",Rio de Janeiro,so_termo_baixa_precisao,ludoteca,association_or_organization;point_of_interest;establishment,3.4,15,,2026-09-01
ChIJedKasEEbFgcR2vHfZOmKeIM,Youplay,"Caminho das Arvores, Salvador - Bahia, 41830-000, Brazil",Salvador,so_termo_baixa_precisao,ludoteca,playground;point_of_interest;establishment,5,2,,2026-09-01
ChIJE1uDVQAfqwcR8E6Bbo8iIBw,Youplay Shopping Recife,"Piso - em frente a praça de eventos - R. Padre Carapuceiro, 777 - Loja 1º - Boa Viagem, Recife - PE, 51020-900, Brazil",Recife,so_termo_baixa_precisao,ludoteca,amusement_center;point_of_interest;association_or_organization;establishment,4.9,60,,2026-09-01
ChIJ1yKEPW0bFgcRUl0zJhFHXi8,Zaccaria Bar,"R. das Margaridas, 90 - Pituba, Salvador - BA, 41810-100, Brazil",Salvador,so_termo_baixa_precisao,quiz bar,bar;restaurant;food;point_of_interest;establishment,4.3,1613,https://zaccariabar.com.br/,2026-09-01
ChIJk-C69g4ZuAARgEm4NIoIraE,Zé Capixaba | Bar e Petiscaria,"R. Silvino Grecco, 1312 - Jardim Camburi, Vitória - ES, 29090-230, Brazil",Vitória,so_termo_baixa_precisao,quiz bar,cocktail_bar;brewery;bar;restaurant;service;point_of_interest;manufacturer;food;establishment,4.9,130,,2026-09-01
ChIJM_ctIM1JxwcRcOGW8qOfTtY,Zúque Drink Bar,"R. Delmiro Gouvêia, 1168 - Varjota, Fortaleza - CE, 60175-090, Brazil",Fortaleza,sem_termo_chave,ludobar;quiz bar,bar;point_of_interest;establishment,4.4,561,https://www.instagram.com/zuquedrinkbar/,2026-09-01
ChIJXVyMzcs5J5URj-PLz3bxVBs,"gris café, bar e mirante","R. Jerônimo José Dias, 591 - José Mendes, Florianópolis - SC, 88045-100, Brazil",Florianópolis,so_termo_baixa_precisao,quiz bar,cocktail_bar;vegan_restaurant;vegetarian_restaurant;coffee_shop;cafe;bar;food_store;restaurant;food;store;point_of_interest;establishment,4.7,206,https://linktr.ee/grisbaremirante,2026-09-01
ChIJR9bJ1qMZqwcRmad51wY1iL8,purswitch,"R. da Piedade, 59 - Santo Amaro, Recife - PE, 50040-050, Brazil",Recife,sem_termo_chave,board game;clube de jogos de tabuleiro;jogos de tabuleiro;loja de jogos de tabuleiro,association_or_organization;point_of_interest;establishment,,0,,2026-09-01
ChIJKXD-OZlZzpQRfcjYR9ZCqak,sheep toys,"Av. Sen. Queirós, 305 - 8 andar sala 1 - Centro Histórico de São Paulo, São Paulo - SP, 01017-040, Brazil",São Paulo,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,,0,,2026-09-01
ChIJCY91HGM9uAARECrUoDabkFQ,the Neyber Bar,"R. Dr. Américo de Oliveira, 143 - Consolação, Vitória - ES, 29045-140, Brazil",Vitória,sem_termo_chave,ludobar;quiz bar,pub;bar;point_of_interest;establishment,4.5,145,,2026-09-01
ChIJa1itPgA7WpMR1OICzGUoO98,Ãm.bar - bar em Brasília,"SBS Q. 1 - Asa Sul, Brasília - DF, 70070-110, Brazil",Brasília,so_termo_baixa_precisao,quiz bar,cocktail_bar;bar;restaurant;food;point_of_interest;establishment,4.8,4443,https://ambar.supersal.com.br/links,2026-09-01
ChIJ2bENOdqVpgARP1bHlg0ofLc,Ô Bar Lounge & Drinkeria,"R. Joaquim José, 1100 - Fonte Grande, Contagem - MG, 32040-632, Brazil",Belo Horizonte,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,3.7,127,https://www.instagram.com/obar.lounge/,2026-09-01
