place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJXX7OJ_rzXpMRCLrNjvDLFIY,Life Pub,"R. P-19, 361 - St. dos Funcionários, Goiânia - GO, 74543-330, Brazil",Goiânia,so_termo_baixa_precisao,quiz bar,bar;pub;sandwich_shop;sports_club;grocery_store;liquor_store;association_or_organization;restaurant;food_store;store;point_of_interest;food;establishment,4.5,385,,2026-09-01
ChIJPfwZORY4J5URU37akK_YC5c,Liquorice Gastro Pub,"R. Alves de Brito, 405 - Centro, Florianópolis - SC, 88015-440, Brazil",Florianópolis,so_termo_baixa_precisao,quiz bar,restaurant;bar;food;point_of_interest;establishment,4.6,454,,2026-09-01
ChIJP6MeE30ZqwcRNAIuKWEntrA,Livraria Jaqueira - Recife Antigo,"R. Me. de Deus, 110 - Recife, PE, 50030-030, Brazil",Recife,sem_termo_chave,jogos de tabuleiro;loja de jogos de tabuleiro,book_store;cafe;store;food;point_of_interest;establishment,4.8,4823,http://www.livrariajaqueira.com.br/,2026-09-01
ChIJLQoG2xF5GZUR4YH8-IRYoRs,Livraria Leitura,"Nível Guaíba - Av. Diário de Notícias, 300 - Lj 2025 - Cristal, Porto Alegre - RS, 90810-080, Brazil",Porto Alegre,sem_termo_chave,jogos de tabuleiro,book_store;point_of_interest;store;establishment,4.7,739,https://leitura.com.br/,2026-09-01
ChIJX03UZFjCrAcRoQGbkEmzAXg,Livraria Leitura,"Av. Hilton Souto Maior - Mangabeira, João Pessoa - PB, 58055-018, Brazil",João Pessoa,sem_termo_chave,board game;jogos de tabuleiro;loja de jogos de tabuleiro,book_store;point_of_interest;store;establishment,4.6,1592,http://www.leitura.com.br/,2026-09-01
ChIJQRRllxM5jgcRACkIAXWKVxQ,Livraria Leitura - Shopping Rio Poty,"Shopping Rio Poty - Porenquanto, Teresina - PI, 64014-058, Brazil",Teresina,sem_termo_chave,jogos de tabuleiro;loja de jogos de tabuleiro,book_store;store;point_of_interest;establishment,4.5,51,https://leitura.com.br/,2026-09-01
ChIJlR3mn93bYZMRP6xg5L4vg_M,Loja Fantasma Card Game Center,"Av. Jk, 140 - Q.02 L.35 SALA 2 - Res. Tocantins, Rio Verde - GO, 75909-456, Brazil",Rio Branco,fora_da_rm_da_capital,loja de card game,toy_store;store;point_of_interest;establishment,4.6,17,http://www.lojafantasma.com.br/,2026-09-16
ChIJN40KG6z645QR2XQSR2syQMY,Loja Happy Nerd,"R. Frei Edgar, 89 - Sl 05 - Centro, Joaçaba - SC, 89600-000, Brazil",Campo Grande;Cuiabá,fora_da_rm_da_capital,jogos de tabuleiro;loja de jogos de tabuleiro,store;point_of_interest;establishment,4.8,27,http://happynerd.com.br/,2026-09-01
ChIJN15aTgCP9gcRqhvevH0S9EI,Loja de carinhos,"Rua Grande - Centro, São Luís - MA, 65066-640, Brazil",São Luís,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,,0,,2026-09-01
ChIJf1TM906P9gcRhC1rMMVRec0,Lojas dos chineses,"R. Dr. Carlos Vasconcelos, 2 - Monte Castelo, São Luís - MA, 65025-001, Brazil",São Luís,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,5,1,,2026-09-01
