,n_jogos_com_mecanica,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Habilidades 1 vez por Partida,10,-0.02612358762992966,0.012241128050003963,-0.016557425790516504,-0.060265294067426,0.010906202047892076,0.004447937041636929,0.14563261847725323,0.10128570731624702,0.1289162338399902,0.13014067750917907,0.07144377331414757,0.3438201633818253,0.042175891668560915,0.07610096391545852,0.11371210196181016
Impulso de Área,4,-0.08135512860667529,-0.08401847148933209,0.13242521921547193,0.07733572697079168,0.4310883112748385,0.12379079654288383,-0.004132615252218558,0.025809838515498926,0.05129527874111166,0.08109946004906715,-0.004411522458570433,0.2705693186525378,0.11753688230243034,0.12273066875787952,0.00910555139718516
Influência / Maioria na Área,38,-0.08333847487214065,-0.0939194301357868,0.08799998615080351,0.05712655104524139,0.1781274677481818,-0.04388870316957636,-0.0467742940999595,0.051560775168675424,-0.033224515138659094,-0.00010023288651130405,-0.03428560806100101,0.13456241692414214,-0.055094993513765525,-0.08857157440755445,-0.031240209478347103
Investimento,4,-0.22372660366835712,-0.09674664291644733,0.013476902840512634,-0.018390813121102894,0.09189867100820204,0.017008083944277247,-0.02722607312619599,0.08434957075307135,-0.01416806865324404,0.01804552778343247,0.01806885493253748,0.1508871391022636,-0.14322800411716924,-0.12333335191388553,0.02216485116816193
Jogadores com Diferentes Habilidades,80,-0.19957356918871527,-0.20279900209658486,-0.07557854684360066,-0.05016108376327126,0.13686676861335553,0.13218143111329284,0.08010563755531053,0.20667268367391706,0.18695402434441188,0.18153002681559363,0.03144490770067884,0.35256824587477154,0.20505407830091904,0.11753462334975869,0.1009135560101177
Jogo em Equipe,17,-0.03061412142499954,-0.013118423106549945,-0.045863000140442395,0.19692879024471593,0.05285376418611991,0.04073242330846541,0.00952907230537452,0.05032412241874348,0.06322695427939698,0.10118415798886218,-0.03749869150548352,0.2649166670997514,0.2015700447019588,0.07755404622664511,0.002577259439289197
Legado,7,-0.08520539856751203,-0.06351862629721802,-0.004686310267554693,-0.04274277985312574,-0.014902159158120529,0.029449079767511366,0.005058574229253987,0.026416343077859325,0.023781031684725763,0.06473971139694941,-0.048795898459041885,0.31996155483113475,0.007705185759799171,0.15312455438162026,-0.012776963331454581
Leilão / Lances,4,-0.10169391075834414,-0.10947481434356254,0.07295106102799231,0.04542688027349346,0.1350682615875921,0.088196559010015,0.01630946973152035,0.07669016653507123,0.04370532542002694,0.04948930930903923,0.04424883321505412,0.07394859510565858,-0.0780367825122693,-0.08071891257966919,0.05417962709925048
Leilão: Colocação Fixa,1,0.0807487465240396,0.059370294905418335,0.06571909259414005,0.1017216787264535,0.024182938625290404,0.026105124509541965,-0.027590689458438254,-0.0423985531022483,-0.033476541139422285,-0.028384322867939016,-0.03072353409278998,0.03669870888450487,-0.0063749081307652045,-0.08644868787634312,-0.03327882013790378
Leilão: Lance Único,3,-0.15227170476990595,-0.14588218386556281,0.11439653564742852,-0.006698810653214288,0.04919829828491219,0.04544091661427867,-0.021641315798828206,0.04571681236473761,0.007111997520216053,0.04573389309156637,0.015541064040328588,0.03434152543126444,-0.08618464777452883,-0.044396102690679805,0.016326931808323734
Leilão: Lances Restritos,2,-0.042929883606754086,-0.04120314492973687,0.09317174130888393,0.05441187403686941,-0.00042749137729328397,0.03700994355871749,0.041769974927232875,0.07641185369023214,0.06000971001241256,0.0720721445663949,0.08068841398524935,0.0881170383387647,-0.054905122724246976,-0.07807023908560552,0.07871262601639835
Linha de Visão,7,0.030983781297277087,0.033430855945904225,0.04061468898547418,-0.01843806189742679,-0.09945571438136966,-0.17388980434149567,-0.023861094079179274,-0.007477046517595367,-0.0007891016451445874,-0.007777024154346536,-0.0780523941485258,0.27438106666922574,0.05736082732294978,0.05470023576707253,-0.03909241390323037
Mancala,1,-0.14131030641706924,-0.11749592954028275,0.06571909259413998,-0.02496237514759595,-0.024786004426419827,0.02610512450954195,0.08651595609689651,0.15019341917242704,0.11813276057786243,0.13005712356218815,0.14455138093727687,0.08760876289512773,-0.07108022565803203,-0.023685676883550957,0.14431940572383298
Mapa: Adição,10,-0.10449435051971874,-0.07767478950150547,-0.016557425790516576,0.04219580053632166,-0.004936080712194434,-0.018411081172345314,0.05928660302158092,0.1489527257612945,0.09113999750017654,0.10123932848518517,0.014588035799553086,0.16264724790201343,0.06310915819354354,-0.006001447522905963,0.04796312059573886
Mapa: Modificação,4,0.04067756430333765,0.005078728500474531,0.01347690284051268,0.07733572697079165,-0.049944269466936905,-0.018586153588591652,0.011457457342383886,0.014320732188498723,0.047500302080569295,0.03634614136976444,-0.03290080575610655,0.30476422709547346,0.21532371470978012,0.012757922088934224,0.0005292948311705712
Marcadores de Ordens,3,-0.02342641611844707,-0.05791956012880267,-0.02260934480347407,0.03005412347117764,0.006578435332548711,0.0044431118467294604,0.04963620274830502,0.061680756531212015,0.07941715611132635,0.10403602846296361,0.041922740906200406,0.19188569859616134,0.10153513224939127,-0.03331267649189967,0.05280899257016612
Marcas,5,-0.10030592117534737,-0.12841182378131177,-0.011559096216989417,-0.08499068279624782,0.004848895122292947,0.011084387756530253,0.31900304237009647,0.21919060121816816,0.37910315755938695,0.2056856637633979,0.2812154015779995,0.15954054300366854,-0.072853855346511,0.1375631304499917,0.32175673413284944
Memória,4,0.020338782151668833,0.017806899927589777,0.013476902840512643,0.045426880273493474,-0.1455340771784436,-0.12536886618719825,0.07790086197176098,-0.060084908786359706,-0.024129882387167734,-0.03760497444045884,0.05617238768035876,-0.10557467421975292,-0.04544117170981938,-0.15632517591456865,0.02372417054380095
Mercado,13,-0.040411134801261614,-0.05385387565416344,0.04174592076239533,-0.07468761387688144,0.1004070275099468,0.14756603752831776,0.060825726822508565,0.06164652167070735,0.0812862004920193,0.06844503365176789,0.06642501360819203,0.1315806109211357,-0.11622012218929303,0.1265475490797306,0.0842755722579582
Mercado de Ações,3,-0.1171320805922353,-0.07257999741826268,-0.022609344803474048,-0.0434517447776062,0.10602478222139676,0.024942014230504073,-0.03178019161615819,0.0734436627591405,-0.033684867780561546,-0.009214791601114542,-0.012903377683368588,0.19188569859616122,-0.1237286037793128,-0.1283134724814435,-0.002306982303878845
Minijogo no Final,1,-2.168404344971009e-19,0.008837087920932293,-0.05234264011922656,-0.02496237514759595,-0.04927047595227495,0.061434059679122084,0.04614704597653595,0.020954069356526498,0.012979311146619424,0.03048422914075338,0.0006641008111798515,0.002758672877422917,0.05833040939650164,-0.061889248792207134,0.004059368959389485
Mover-se pelo Baralho,2,0.057239844809005395,0.06626030373069039,0.00948207986771821,0.00951101863246093,0.03862384593844764,0.06205333870011628,-0.037661015928992236,-0.048561713918377845,-0.040562920572601364,-0.020868778187739724,-0.03473734889895941,0.02796990053523668,0.1285638470374342,0.01477931658998831,-0.044163245080633476
Movimento Oculto,2,-0.20033945683151894,-0.059113719706474735,0.09317174130888388,-0.03538983677194757,0.16445593284472387,0.037009943558717444,0.04856022402814078,0.11131206969592197,0.08226029200024748,0.12205422770999119,0.0002783378593641892,0.1602936037029983,0.2202983319182747,0.07667902037371717,0.043879510772373696
Movimento Ponto-a-Ponto,22,-0.15004267382388906,-0.07571823259984849,0.05973144407207741,-0.13795621650623968,-0.016659321536652994,0.009995390071644905,-0.023836296812138037,0.07349684293204824,-0.009424353699177969,0.006113769274746071,0.019115189231024423,0.12833375560020566,-0.08988212274419305,-0.06081933299211964,0.01708601394572765
