place_id,nome_estabelecimento,review_index,avaliacao_media_estabelecimento,nota_avaliacao,volume_avaliacoes_estabelecimento,num_caracteres_texto,cluster
ChIJfyav9YI9uAARjwbBqcRm2_k,Café Geek Cafeteria e Ludoteca,3,5.0,5,148,486,1
ChIJfyav9YI9uAARjwbBqcRm2_k,Café Geek Cafeteria e Ludoteca,4,5.0,5,148,188,1
ChIJk4ZqIH1_mQARrByPymrpe7E,Donna Gastrobar,1,4.5,5,99,424,1
ChIJk4ZqIH1_mQARrByPymrpe7E,Donna Gastrobar,2,4.5,5,99,282,1
ChIJk4ZqIH1_mQARrByPymrpe7E,Donna Gastrobar,3,4.5,2,99,310,0
ChIJk4ZqIH1_mQARrByPymrpe7E,Donna Gastrobar,4,4.5,4,99,464,1
ChIJkWsGmd1czpQRGLydxc29vbw,Place Games,2,4.8,4,572,224,1
ChIJkWsGmd1czpQRGLydxc29vbw,Place Games,3,4.8,3,572,300,0
ChIJkWsGmd1czpQRGLydxc29vbw,Place Games,4,4.8,5,572,138,1
ChIJnyqy8QHhYY0RIHJp_Ofb4v8,4 Fun Geek Store,2,4.5,4,146,525,1
ChIJnyqy8QHhYY0RIHJp_Ofb4v8,4 Fun Geek Store,3,4.5,1,146,146,0
ChIJnyqy8QHhYY0RIHJp_Ofb4v8,4 Fun Geek Store,4,4.5,5,146,259,1
ChIJpzB8zc2XpgARoJTUu90J6Pw,Comdado Bar e Jogos,0,4.4,5,158,247,1
ChIJpzB8zc2XpgARoJTUu90J6Pw,Comdado Bar e Jogos,1,4.4,2,158,1952,0
ChIJpzB8zc2XpgARoJTUu90J6Pw,Comdado Bar e Jogos,2,4.4,5,158,314,1
ChIJpzB8zc2XpgARoJTUu90J6Pw,Comdado Bar e Jogos,3,4.4,5,158,2516,0
ChIJpzB8zc2XpgARoJTUu90J6Pw,Comdado Bar e Jogos,4,4.4,5,158,553,1
ChIJq92vt8sxpJQR-lNNTdp0RLQ,TABLE GAMES (Burgers),1,4.9,5,364,322,1
ChIJq92vt8sxpJQR-lNNTdp0RLQ,TABLE GAMES (Burgers),2,4.9,5,364,473,1
ChIJq92vt8sxpJQR-lNNTdp0RLQ,TABLE GAMES (Burgers),3,4.9,5,364,173,1
ChIJq92vt8sxpJQR-lNNTdp0RLQ,TABLE GAMES (Burgers),4,4.9,5,364,120,1
ChIJqQGLHGfnrAcR7cbxZrSPynE,Taverna Mestre Ogro,0,5.0,5,3,279,1
ChIJqQGLHGfnrAcR7cbxZrSPynE,Taverna Mestre Ogro,1,5.0,5,3,74,1
ChIJqUA_IaE5jgcRjnu2CBE7yTM,Xeque Mate: Restaurante e Jogos de Tabuleiro,3,4.7,4,825,388,0
ChIJqUA_IaE5jgcRjnu2CBE7yTM,Xeque Mate: Restaurante e Jogos de Tabuleiro,4,4.7,3,825,483,0
ChIJrT_EWwBZzpQRGAZzptZbtsY,Cartola Luderia Bar,1,4.7,5,242,464,1
ChIJrT_EWwBZzpQRGAZzptZbtsY,Cartola Luderia Bar,2,4.7,5,242,297,1
ChIJrT_EWwBZzpQRGAZzptZbtsY,Cartola Luderia Bar,3,4.7,5,242,387,1
ChIJrT_EWwBZzpQRGAZzptZbtsY,Cartola Luderia Bar,4,4.7,5,242,268,1
ChIJsTy8gUxLxwcRCKRfkhIP8zM,Games bar,0,5.0,5,4,16,1
ChIJsU5BAwBRzpQRAgLVvqg68os,Tubaleria - Clube de Jogos de Tabuleiro e Hamburgueria,0,5.0,5,99,404,1
ChIJsU5BAwBRzpQRAgLVvqg68os,Tubaleria - Clube de Jogos de Tabuleiro e Hamburgueria,1,5.0,5,99,200,1
ChIJsU5BAwBRzpQRAgLVvqg68os,Tubaleria - Clube de Jogos de Tabuleiro e Hamburgueria,2,5.0,5,99,407,1
ChIJsU5BAwBRzpQRAgLVvqg68os,Tubaleria - Clube de Jogos de Tabuleiro e Hamburgueria,3,5.0,5,99,332,1
ChIJsU5BAwBRzpQRAgLVvqg68os,Tubaleria - Clube de Jogos de Tabuleiro e Hamburgueria,4,5.0,5,99,201,1
ChIJvXuPLAAFbJIRncOH-f4lasQ,Acerola: A Casa do Acy,0,4.8,5,17,157,1
ChIJvXuPLAAFbJIRncOH-f4lasQ,Acerola: A Casa do Acy,1,4.8,5,17,185,1
ChIJvXuPLAAFbJIRncOH-f4lasQ,Acerola: A Casa do Acy,2,4.8,4,17,240,1
ChIJvXuPLAAFbJIRncOH-f4lasQ,Acerola: A Casa do Acy,3,4.8,4,17,149,1
ChIJvXuPLAAFbJIRncOH-f4lasQ,Acerola: A Casa do Acy,4,4.8,5,17,156,1
ChIJx5jr3zGXpgARQGx9eX7TDmY,LudoCafé,4,4.6,5,585,404,1
ChIJyXjE650xWpMRJL-J6QbGkt4,FORTALÚDICA - BURGERS & JOGOS,0,4.8,5,105,1916,1
ChIJyXjE650xWpMRJL-J6QbGkt4,FORTALÚDICA - BURGERS & JOGOS,1,4.8,3,105,850,0
ChIJyXjE650xWpMRJL-J6QbGkt4,FORTALÚDICA - BURGERS & JOGOS,2,4.8,5,105,95,1
ChIJyXjE650xWpMRJL-J6QbGkt4,FORTALÚDICA - BURGERS & JOGOS,3,4.8,5,105,135,1
ChIJyXjE650xWpMRJL-J6QbGkt4,FORTALÚDICA - BURGERS & JOGOS,4,4.8,4,105,530,1
ChIJyzOdkZBnzpQRgrkQrV8p52s,Arcade 80 - Game Lounge,0,5.0,5,60,424,1
ChIJyzOdkZBnzpQRgrkQrV8p52s,Arcade 80 - Game Lounge,1,5.0,5,60,473,1
ChIJyzOdkZBnzpQRgrkQrV8p52s,Arcade 80 - Game Lounge,2,5.0,5,60,72,1
ChIJyzOdkZBnzpQRgrkQrV8p52s,Arcade 80 - Game Lounge,3,5.0,5,60,83,1
ChIJyzOdkZBnzpQRgrkQrV8p52s,Arcade 80 - Game Lounge,4,5.0,5,60,86,1
