id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,cluster
36576,Village: Big Box,2022,2023.0,1,5.0,120,12,378,69,41,376,512,6,0,8.6,191,0
9109,Grand Austria Hotel,2015,2018.0,2,4.0,90,12,1285,362,189,1213,1996,5,1,8.6,923,1
18167,Zombicide: Dark Side,2019,2020.0,1,6.0,60,14,263,45,17,303,119,6,2,8.6,69,0
64128,Oikos,2024,2024.0,2,6.0,60,14,296,25,20,186,386,10,2,8.6,132,0
98,Lords of Waterdeep,2012,2026.0,2,5.0,60,12,1789,386,449,2068,3427,8,0,8.6,1559,1
10425,Aeon's End,2016,2023.0,1,4.0,60,14,651,104,67,757,747,10,0,8.6,301,0
25929,Imperium: Lendas,2021,2022.0,1,4.0,120,12,517,98,31,250,305,2,1,8.6,185,0
6550,Orléans,2014,2017.0,2,4.0,90,12,1824,392,222,1087,2694,11,0,8.6,1204,1
25894,Cascadia,2021,2022.0,1,4.0,45,14,2109,237,210,1948,3391,2,2,8.59,1140,1
52890,Star Wars: Unlimited,2024,2024.0,2,4.0,20,12,113,12,8,92,133,4,2,8.59,47,0
62689,Faith Battle,2024,2024.0,2,8.0,30,8,146,7,14,39,46,1,1,8.59,35,0
28281,Sanduíche,2020,2020.0,2,6.0,10,7,132,8,7,60,121,2,1,8.57,50,0
27320,Unmatched: Chapeuzinho Vermelho vs. Beowulf,2020,2023.0,2,2.0,20,9,423,58,20,270,336,3,3,8.57,137,0
76468,Grasse (2ª Edição),2025,2025.0,1,4.0,90,14,562,32,19,182,499,4,1,8.57,158,0
32942,Azul: Jardim da Rainha,2021,2022.0,2,4.0,60,10,977,88,91,848,1352,5,2,8.57,425,0
4699,La Granja,2014,2019.0,1,4.0,120,12,1805,585,184,1268,2376,9,0,8.57,1145,1
14946,Star Wars: Legion,2018,2018.0,2,2.0,120,12,323,68,50,321,146,6,2,8.56,115,0
24015,Kemet: Blood and Sand,2021,2021.0,2,5.0,120,13,605,113,62,594,661,10,2,8.56,249,0
25605,The Red Cathedral,2020,2021.0,1,4.0,60,10,1605,262,124,911,2118,3,0,8.56,763,0
14346,Brazil: Imperial,2021,2021.0,1,4.0,100,14,2084,390,247,1878,2342,6,1,8.56,1068,1
25167,Os Desejos do Sultão,2021,2021.0,1,4.0,60,14,349,39,38,180,357,5,0,8.56,171,0
56126,Critter Kitchen,2025,2025.0,1,5.0,70,10,722,31,45,591,810,3,0,8.56,235,0
7714,The Gallerist,2015,2023.0,1,4.0,120,12,1086,353,151,954,1606,11,0,8.56,810,1
10546,Pandemic Iberia,2016,2023.0,2,5.0,45,8,537,79,34,505,456,10,0,8.56,199,0
