id_jogo,ano_publicacao,nota_media,nota_rank,qt_avaliacoes
14958,2017,8.43,8.25,636
10595,2017,8.43,8.23,560
11962,2018,8.43,7.27,55
79772,2025,8.43,7.62,100
513,2013,8.43,8.1,316
24387,2020,8.43,8.12,346
124,2012,8.43,8.31,1034
36579,2023,8.42,7.43,72
15650,2017,8.42,7.06,39
79648,2026,8.42,6.85,27
68024,2024,8.42,7.66,109
23463,2021,8.42,6.78,24
34789,2022,8.42,8.07,295
35215,2022,8.42,8.14,390
64409,2024,8.42,7.89,178
23,2012,8.42,8.25,639
40741,2022,8.42,8.05,278
70,2011,8.42,8.32,1150
17542,2017,8.42,8.14,380
16790,2018,8.41,8.22,587
23808,2021,8.41,7.6,99
41382,2024,8.41,7.5,82
14642,2017,8.41,8.25,722
34948,2022,8.41,8.2,530
7482,2015,8.41,8.34,1720
1949,2013,8.41,7.77,138
2974,2014,8.41,8.32,1288
11341,2016,8.41,8.26,759
108,2017,8.41,8.07,302
58149,2023,8.41,7.75,133
8067,2017,8.41,7.68,115
58652,2024,8.41,7.13,44
14030,2018,8.41,8.23,611
507,1995,8.41,8.15,410
53260,2025,8.4,8.01,255
60103,2023,8.4,7.47,79
1213,2004,8.4,7.58,97
13148,2018,8.39,7.29,59
26310,2021,8.39,7.94,218
51301,2023,8.39,7.32,62
33760,2021,8.39,6.92,31
24783,2020,8.39,6.92,31
5494,2014,8.39,7.65,110
8232,2015,8.39,7.46,78
22852,2021,8.39,8.14,434
1506,2010,8.39,7.87,180
63936,2024,8.39,7.34,64
13930,2017,8.39,8.24,745
32940,2021,8.39,7.82,162
30987,2021,8.39,8.25,764
6438,2010,8.38,8.23,715
18191,2019,8.38,6.81,26
40471,2022,8.38,8.02,280
34778,2024,8.38,7.96,236
17265,2004,8.38,7.31,61
755,1475,8.38,8.3,1542
35271,2023,8.38,7.89,192
51179,2023,8.38,7.93,211
657,2009,8.38,8.0,268
121,2010,8.38,7.88,191
35672,2022,8.38,7.88,190
67633,2024,8.38,7.88,187
61070,2024,8.38,7.6,104
323,2012,8.37,7.12,45
80271,2025,8.37,7.45,79
408,2012,8.37,7.66,117
58768,2024,8.37,7.11,44
1261,2009,8.37,8.32,2437
64355,2024,8.37,7.36,67
79495,2025,8.37,6.79,25
11672,2016,8.37,7.44,78
56584,2023,8.37,7.15,47
21612,2019,8.37,8.09,366
30391,2021,8.37,7.76,144
66644,2025,8.37,6.79,25
25174,2022,8.36,6.95,34
79,2013,8.36,7.59,103
7398,2015,8.36,8.23,848
14303,2017,8.36,7.31,62
763,2009,8.36,8.07,354
57141,2023,8.36,7.68,123
57912,2024,8.36,6.74,23
10576,2016,8.36,8.04,324
25254,2020,8.36,8.04,325
958,2007,8.36,8.04,313
77,2012,8.36,7.44,79
947,2015,8.36,7.68,124
80823,2024,8.36,7.31,62
95,2008,8.35,8.22,813
411,2010,8.35,8.17,615
55924,2023,8.35,7.17,50
62831,2024,8.35,7.0,37
14332,2018,8.35,7.48,86
33746,2023,8.35,7.16,49
35117,2023,8.35,7.84,181
1922,2011,8.35,7.5,88
17514,2019,8.35,8.14,517
305,2012,8.35,8.19,717
24326,2020,8.35,7.99,270
28616,2021,8.35,8.01,298
36489,2021,8.35,7.23,55
8245,2015,8.35,7.88,197
41303,2024,8.35,6.9,31
18359,2018,8.35,6.88,30
68127,2024,8.34,7.34,67
468,2013,8.34,8.04,332
46741,2023,8.34,7.9,216
24459,2020,8.34,8.04,333
18504,2017,8.34,6.74,23
26642,2020,8.34,7.22,54
2495,1980,8.34,6.78,25
14444,2017,8.34,7.63,115
18232,2018,8.34,7.5,89
17000,2018,8.34,7.1,44
6677,2016,8.33,7.58,106
25480,2021,8.33,7.78,159
11577,2016,8.33,7.37,71
24240,2020,8.33,6.71,22
30252,2019,8.33,7.61,113
36328,2022,8.33,8.09,446
101,2004,8.33,8.08,424
2664,2014,8.33,8.26,1662
4679,2009,8.33,7.44,81
10624,2016,8.33,7.49,89
9189,2017,8.33,7.04,40
545,22,8.33,7.82,178
31826,2021,8.33,7.97,272
14945,2019,8.33,7.94,249
17966,2018,8.33,8.15,591
65241,2025,8.33,7.84,187
25714,2020,8.32,7.67,127
22471,2019,8.32,7.67,129
32938,2021,8.32,7.8,174
28685,2021,8.32,8.12,514
15775,2019,8.32,7.77,161
23618,2020,8.32,8.0,312
8617,2015,8.32,7.9,226
62855,2024,8.32,7.68,130
25842,2019,8.32,7.93,253
36,2006,8.32,7.76,158
59578,2024,8.32,7.75,153
22,2009,8.32,8.24,1542
69219,2025,8.32,7.68,131
32044,2019,8.31,6.88,31
13968,2017,8.31,8.08,445
33041,2021,8.31,7.97,285
68399,2024,8.31,7.04,41
19396,2019,8.31,6.77,25
3607,2014,8.31,8.27,2617
38197,2022,8.31,7.65,124
30661,2020,8.31,7.03,40
3874,2014,8.31,7.44,82
22632,2019,8.31,7.17,51
26357,2020,8.31,7.29,64
56636,2023,8.31,7.72,146
54984,2024,8.31,7.75,156
36732,2022,8.31,7.9,235
