place_id,nome_estabelecimento,avaliacao_media_estabelecimento,volume_avaliacoes_estabelecimento,review_index,nota_avaliacao,idioma,data_relativa,texto_avaliacao,mencao_preco,mencao_friccao,grupo_nota_estabelecimento,grupo_nota_individual,grupo_volume_avaliacoes
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,5.0,94,4,5,pt,10 months ago,"Lugar excelente, adorei desde a primeira vez que fui. Já fui com a família, amigos e sozinho - me diverti muito todas as vezes. A comida é muito boa, principalmente as batatas de catan. Lá tem uma imensa variedade de jogos e o Leo e a Laura explicam com bastante paciência, clareza e cuidado.",False,False,maior,promotor,menor
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,4.8,104,0,4,pt,6 years ago,"Ambiente bastante agradável, várias opções de jogos para brincar com a turma toda, excelente atendimento e localização!!",False,False,maior,neutro,maior
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,4.8,104,1,2,pt,6 years ago,"O local é agradável e a proposta é excelente enquanto entreterimento.
Só tivemos uma recepção não muito boa. Ao chegarmos estávamos em 4 pessoas e não nos foi dada a opção de escolher a mesa desejada, pois haviam 2 mesas de 6 lugares no local desejado que a preferência seria para grupo maiores. Sendo que haviam mesas já ocupadas com a mesma proporção da nossa.
Para completar, onde nos colocaram havia a infeliz possibilidade de não podermos jogar certo jogos por ser na área externa da casa, o que não se confirmou🙏.
No geral a proposta é boa, só precisa melhorar no atendimento ao cliente.",True,False,maior,detrator,maior
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,4.8,104,2,3,pt,6 years ago,"Lugar mediano, há restrições para jogar alguns jogos na área de fora, os atendentes são muito simpáticos e prestativos mas o grande ponto negativo é a refrigeração que não é tão fresco no interior da loja, se a sua praia é uma mistura de bar com jogos, vai fundo. Os petiscos são saborosos e com preço justo.",False,False,maior,detrator,maior
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,4.8,104,3,4,pt,6 years ago,"O local é muito agradável e os garçons super prestativos. Mas a comida deixou um pouco a desejar. Batata frita quentinha, mas com cheddar gelado por cima e os hambúrgueres estavam todos secos, pedimos três versões diferentes, sendo uma vegana.",False,False,maior,neutro,maior
ChIJKTRza_0ZuAAR4hrMAsvsb2I,Taverna dos Jogos,4.8,104,4,5,pt,6 years ago,"Lugar incrível e bem acolhedor. Fomos em 7 e sentamos na varandinha por não ter lugares disponíveis la dentro. Por conta disso, não pagamos a taxa de consumação mínima. Jogamos uns 3, 4 jogos e ficamos muito tempo lá. Ao fim, cada um pagou 12reais pelo que consumimos de bebidas e só.
Excelente lugar pra ir de galera e passar um bom tempo reunidos.",False,False,maior,promotor,maior
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,4.2,49,0,1,pt,3 months ago,"O atendimento digital é horrível, e quando fui era tudo caro, espaço pequeno e quente, além do proprietário não ser aberto a diálogo nem feedback.",True,False,menor,detrator,menor
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,4.2,49,1,1,pt,10 months ago,"Preços superinflacionados, falta atendimento e os produtos não correspondem ao preços praticados. R$ 7,00 em uma água e R$ 14,00 em um café passado. Não recomendo.",False,False,menor,detrator,menor
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,4.2,49,2,5,pt,9 months ago,"Ambiente agradável, comida saudável e saborosa, ótimo atendimento e preço justo! Recomendo!!",False,False,menor,promotor,menor
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,4.2,49,3,5,pt,10 months ago,"Adorei! Comida boa e muita opção de jogo, sem contar o ótimo atendimento!!",False,False,menor,promotor,menor
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,4.2,49,4,5,pt,10 months ago,"Possui uma enorme variedade de jogos, comida maravilhosa e atendimento top!
Explicam os jogos, dizem curiosidades sobre os mesmo e deixam tudo mais divertido.
Amamos o local.",False,False,menor,promotor,menor
