nm_jogo,nota_rank,nota_media,qt_avaliacoes,link,slug
O Vale dos Monstros II - A Invasão da Cidade,7.63,8.46,98,https://ludopedia.com.br/jogo/o-vale-dos-monstros-ii-a-invasao-da-cidade,o-vale-dos-monstros-ii-a-invasao-da-cidade
Mascarade,7.63,7.79,487,https://ludopedia.com.br/jogo/mascarade,mascarade
Anachrony: Infinity Box,7.62,9.1,55,https://ludopedia.com.br/jogo/anachrony-infinity-box,anachrony-infinity-box
Spots,7.62,7.84,370,https://ludopedia.com.br/jogo/spots,spots
Mare Nostrum: Empires,7.62,8.15,154,https://ludopedia.com.br/jogo/mare-nostrum-empires,mare-nostrum-empires
Challengers,7.62,7.85,352,https://ludopedia.com.br/jogo/challengers,challengers
No Thanks!,7.62,7.69,1290,https://ludopedia.com.br/jogo/no-thanks,no-thanks
Chicago Express,7.62,8.05,190,https://ludopedia.com.br/jogo/chicago-express,chicago-express
Pipoca,7.62,8.43,100,https://ludopedia.com.br/jogo/pipoca,pipoca
Century: Maravilhas do Oriente,7.62,7.97,233,https://ludopedia.com.br/jogo/century-eastern-wonders,century-eastern-wonders
Hot Streak,7.62,8.13,158,https://ludopedia.com.br/jogo/hot-streak,hot-streak
Ishtar: Gardens of Babylon,7.62,7.91,282,https://ludopedia.com.br/jogo/ishtar-gardens-of-babylon,ishtar-gardens-of-babylon
Ascension: Chronicle of the Godslayer,7.62,8.03,195,https://ludopedia.com.br/jogo/ascension-chronicle-of-the-godslayer,ascension-chronicle-of-the-godslayer
Evenfall,7.62,8.19,143,https://ludopedia.com.br/jogo/evenfall,evenfall
Territórios,7.62,7.95,247,https://ludopedia.com.br/jogo/blokus,blokus
Ora et Labora,7.62,8.28,123,https://ludopedia.com.br/jogo/ora-et-labora,ora-et-labora
Pathfinder - O Jogo de Aventuras,7.62,7.77,520,https://ludopedia.com.br/jogo/pathfinder-adventure-card-game-rise-of-the-runelords-base-set,pathfinder-adventure-card-game-rise-of-the-runelords-base-set
AquaSphere,7.62,8.03,197,https://ludopedia.com.br/jogo/aquasphere,aquasphere
Auztralia,7.62,8.01,205,https://ludopedia.com.br/jogo/auztralia,auztralia
Dungeon Saga: A Busca do Rei Anão,7.62,7.94,252,https://ludopedia.com.br/jogo/dungeon-saga-a-busca-do-rei-anao,dungeon-saga-a-busca-do-rei-anao
Apiary,7.62,8.16,148,https://ludopedia.com.br/jogo/apiary,apiary
Trismegistus: The Ultimate Formula,7.62,8.47,95,https://ludopedia.com.br/jogo/trismegistus-the-ultimate-formula,trismegistus-the-ultimate-formula
Port Royal,7.62,7.7,959,https://ludopedia.com.br/jogo/port-royal,port-royal
Shadowrun: Crossfire,7.62,7.84,355,https://ludopedia.com.br/jogo/shadowrun-crossfire,shadowrun-crossfire
Acquire (2023 Edition),7.62,8.03,195,https://ludopedia.com.br/jogo/acquire-2023-edition,acquire-2023-edition
Unlock!: Aventuras Atemporais,7.61,8.33,113,https://ludopedia.com.br/jogo/unlock-timeless-adventures,unlock-timeless-adventures
Cooper Island,7.61,8.12,158,https://ludopedia.com.br/jogo/cooper-island,cooper-island
Finca: Second Edition,7.61,8.25,126,https://ludopedia.com.br/jogo/finca-second-edition,finca-second-edition
Room 25,7.61,7.76,536,https://ludopedia.com.br/jogo/room-25,room-25
Dewan,7.61,8.26,124,https://ludopedia.com.br/jogo/dewan,dewan
Shadows Over Camelot,7.61,7.86,323,https://ludopedia.com.br/jogo/shadows-over-camelot,shadows-over-camelot
Dungeons & Dragons: Castle Ravenloft Board Game,7.61,7.93,254,https://ludopedia.com.br/jogo/dungeons-dragons-castle-ravenloft-board-game,dungeons-dragons-castle-ravenloft-board-game
A Ilha do Tesouro,7.61,7.92,255,https://ludopedia.com.br/jogo/treasure-island,treasure-island
Airport Rush,7.61,8.03,188,https://ludopedia.com.br/jogo/airport-rush,airport-rush
Downforce,7.61,7.72,697,https://ludopedia.com.br/jogo/downforce,downforce
Fallout,7.61,7.79,436,https://ludopedia.com.br/jogo/fallout,fallout
Smartphone Inc.,7.61,8.24,126,https://ludopedia.com.br/jogo/smartphone-inc,smartphone-inc
Chaparral,7.6,7.91,263,https://ludopedia.com.br/jogo/chaparral,chaparral
Cthulhu E Os Segredos Arcanos,7.6,9.56,41,https://ludopedia.com.br/jogo/cthulhu-e-os-segredos-arcanos,cthulhu-e-os-segredos-arcanos
Galileo Galilei,7.6,8.38,104,https://ludopedia.com.br/jogo/galileo-galilei,galileo-galilei
Rummikub Twist,7.6,8.23,128,https://ludopedia.com.br/jogo/rummikub-twist,rummikub-twist
Night of the Living Dead: A Zombicide Game,7.6,8.41,99,https://ludopedia.com.br/jogo/night-of-the-living-dead-a-zombicide-game,night-of-the-living-dead-a-zombicide-game
Genial,7.6,7.79,422,https://ludopedia.com.br/jogo/ingenious,ingenious
Medici,7.6,7.79,425,https://ludopedia.com.br/jogo/medici,medici
Black Angel,7.6,8.0,200,https://ludopedia.com.br/jogo/black-angel,black-angel
Quacks: All-In Edition,7.6,8.85,64,https://ludopedia.com.br/jogo/quacks-all-in-edition,quacks-all-in-edition
Shogun,7.6,8.19,135,https://ludopedia.com.br/jogo/shogun,shogun
Tokaido,7.6,7.66,1319,https://ludopedia.com.br/jogo/tokaido,tokaido
Istanbul: Big Box,7.6,8.81,66,https://ludopedia.com.br/jogo/istanbul-big-box,istanbul-big-box
Legendary: A Marvel Deck Building Game,7.6,7.99,202,https://ludopedia.com.br/jogo/legendary-a-marvel-deck-building-game,legendary-a-marvel-deck-building-game
Ticket to Ride: New York,7.6,7.72,661,https://ludopedia.com.br/jogo/ticket-to-ride-new-york,ticket-to-ride-new-york
Sabika,7.59,8.24,124,https://ludopedia.com.br/jogo/sabika,sabika
Charterstone,7.59,7.83,338,https://ludopedia.com.br/jogo/charterstone,charterstone
Café da Tarde,7.59,9.18,50,https://ludopedia.com.br/jogo/cafe-da-tarde,cafe-da-tarde
Dungeon Command: Curse of Undeath,7.59,8.31,111,https://ludopedia.com.br/jogo/dungeon-command-curse-of-undeath,dungeon-command-curse-of-undeath
MicroMacro: A Cidade do Crime,7.59,7.79,399,https://ludopedia.com.br/jogo/micromacro-crime-city,micromacro-crime-city
Dead Men Tell No Tales,7.59,7.78,412,https://ludopedia.com.br/jogo/dead-men-tell-no-tales,dead-men-tell-no-tales
Citadels,7.59,7.64,1447,https://ludopedia.com.br/jogo/citadels,citadels
Carpe Diem,7.59,8.03,177,https://ludopedia.com.br/jogo/carpe-diem,carpe-diem
Dungeon Command: Blood of Gruumsh,7.59,8.36,103,https://ludopedia.com.br/jogo/dungeon-command-blood-of-gruumsh,dungeon-command-blood-of-gruumsh
CuBirds,7.59,7.73,543,https://ludopedia.com.br/jogo/cubirds,cubirds
Palm Island,7.58,7.73,556,https://ludopedia.com.br/jogo/palm-island,palm-island
3 Capítulos (I),7.58,8.15,140,https://ludopedia.com.br/jogo/3-chapters,3-chapters
Cosmos,7.58,7.88,269,https://ludopedia.com.br/jogo/cosmos,cosmos
A Guerra do Anel,7.58,8.4,97,https://ludopedia.com.br/jogo/war-of-the-ring-first-edition,war-of-the-ring-first-edition
Love Letter,7.58,7.64,1429,https://ludopedia.com.br/jogo/love-letter,love-letter
Tainted Grail: Monarcas da Ruína,7.58,9.67,38,https://ludopedia.com.br/jogo/tainted-grail-kings-of-ruin,tainted-grail-kings-of-ruin
Tortuga 2199,7.58,8.16,138,https://ludopedia.com.br/jogo/tortuga-2199,tortuga-2199
Abomination: The Heir of Frankenstein,7.58,8.29,111,https://ludopedia.com.br/jogo/abomination-the-heir-of-frankenstein,abomination-the-heir-of-frankenstein
Unmatched: Fundas e Flechas,7.58,8.86,62,https://ludopedia.com.br/jogo/unmatched-slings-and-arrows,unmatched-slings-and-arrows
Seven Galaxies,7.58,9.26,47,https://ludopedia.com.br/jogo/seven-galaxies,seven-galaxies
Conan,7.58,8.33,106,https://ludopedia.com.br/jogo/conan,conan
Waterdeep: A Masmorra do Mago Louco - Boardgame,7.58,8.0,190,https://ludopedia.com.br/jogo/dungeons-dragons-waterdeep-dungeon-of-the-mad-mage-board-game,dungeons-dragons-waterdeep-dungeon-of-the-mad-mage-board-game
Starcadia Quest,7.58,8.18,131,https://ludopedia.com.br/jogo/starcadia-quest,starcadia-quest
Os Reinos de Drunagor,7.58,7.98,198,https://ludopedia.com.br/jogo/os-reinos-de-drunagor,os-reinos-de-drunagor
Gwent: O jogo de cartas Lendário,7.58,8.3,109,https://ludopedia.com.br/jogo/gwent-the-legendary-card-game,gwent-the-legendary-card-game
Betrayal at House on the Hill: 3rd Edition,7.58,8.55,81,https://ludopedia.com.br/jogo/betrayal-at-house-on-the-hill-3rd-edition,betrayal-at-house-on-the-hill-3rd-edition
Torres,7.58,7.89,252,https://ludopedia.com.br/jogo/torres,torres
Micélio,7.58,8.13,142,https://ludopedia.com.br/jogo/mycelia,mycelia
Mariposas,7.58,7.79,375,https://ludopedia.com.br/jogo/mariposas,mariposas
Skytear,7.58,8.22,122,https://ludopedia.com.br/jogo/skytear,skytear
Barony,7.58,7.68,739,https://ludopedia.com.br/jogo/barony,barony
Toy Battle,7.58,8.31,108,https://ludopedia.com.br/jogo/toy-battle,toy-battle
Say My Name,7.58,8.03,175,https://ludopedia.com.br/jogo/say-my-name,say-my-name
Namiji,7.57,8.25,117,https://ludopedia.com.br/jogo/namiji,namiji
Sushi Go!,7.57,7.61,2134,https://ludopedia.com.br/jogo/sushi-go,sushi-go
O Albergue Sangrento,7.57,7.75,434,https://ludopedia.com.br/jogo/the-bloody-inn,the-bloody-inn
Lume,7.57,7.93,216,https://ludopedia.com.br/jogo/glow,glow
Ricardo Coração de Leão,7.57,7.82,317,https://ludopedia.com.br/jogo/richard-the-lionheart,richard-the-lionheart
Cry Havoc,7.57,7.81,319,https://ludopedia.com.br/jogo/cry-havoc,cry-havoc
Notre Dame,7.57,7.94,212,https://ludopedia.com.br/jogo/notre-dame,notre-dame
Reef,7.57,7.71,546,https://ludopedia.com.br/jogo/reef,reef
Xingu,7.57,8.2,124,https://ludopedia.com.br/jogo/xingu,xingu
Ghost Stories,7.57,7.92,225,https://ludopedia.com.br/jogo/ghost-stories,ghost-stories
Bloodborne: The Board Game,7.57,8.11,145,https://ludopedia.com.br/jogo/bloodborne-the-board-game,bloodborne-the-board-game
Pôquer,7.56,7.73,480,https://ludopedia.com.br/jogo/poker,poker
Quem Foi?,7.56,7.64,1011,https://ludopedia.com.br/jogo/who-did-it,who-did-it
Tiny Epic Pirates,7.56,7.82,298,https://ludopedia.com.br/jogo/tiny-epic-pirates,tiny-epic-pirates
Escape Tales: O Despertar,7.56,7.85,265,https://ludopedia.com.br/jogo/escape-tales-the-awakening,escape-tales-the-awakening
The Grizzled,7.56,7.8,327,https://ludopedia.com.br/jogo/the-grizzled,the-grizzled
Tammany Hall,7.56,8.15,131,https://ludopedia.com.br/jogo/tammany-hall,tammany-hall
De Vulgari Eloquentia: Deluxe Edition,7.56,8.26,111,https://ludopedia.com.br/jogo/de-vulgari-eloquentia-deluxe-edition,de-vulgari-eloquentia-deluxe-edition
O Cerco de Runedar,7.56,8.07,153,https://ludopedia.com.br/jogo/the-siege-of-runedar,the-siege-of-runedar
Elder Sign,7.56,7.61,1380,https://ludopedia.com.br/jogo/elder-sign,elder-sign
Stardew Valley: The Board Game,7.56,8.15,132,https://ludopedia.com.br/jogo/stardew-valley-the-board-game,stardew-valley-the-board-game
Don Capollo (Segunda Edição),7.56,8.22,118,https://ludopedia.com.br/jogo/don-capollo-2-edicao,don-capollo-2-edicao
Here to Slay,7.56,8.09,146,https://ludopedia.com.br/jogo/here-to-slay,here-to-slay
Gold West,7.56,7.85,266,https://ludopedia.com.br/jogo/gold-west,gold-west
Crusaders: Thy Will Be Done,7.56,8.08,148,https://ludopedia.com.br/jogo/crusaders-thy-will-be-done,crusaders-thy-will-be-done
