recorte,capital,cbo,ocupacao,admissoes,salario_medio,salario_p25,salario_mediana,salario_p75,salario_medio_real,horas_mediana,amostra_pequena,periodo_competencia
todas as atividades,Belém,513420,Barman,218,1714.29,1580.0,1621.0,1680.0,1760.36,44.0,False,202508-202607
todas as atividades,Boa Vista,513420,Barman,40,1627.37,1586.31,1593.16,1621.0,1671.96,44.0,False,202508-202607
todas as atividades,Brasília,513420,Barman,825,1739.79,1639.44,1750.68,1750.68,1776.69,44.0,False,202508-202607
todas as atividades,Campo Grande,513420,Barman,164,1732.32,1600.0,1691.2,1800.0,1774.16,44.0,False,202508-202607
todas as atividades,Cuiabá,513420,Barman,171,1791.13,1621.0,1676.0,1853.55,1828.09,44.0,False,202508-202607
todas as atividades,Curitiba,513420,Barman,484,2015.99,1828.0,1925.77,2100.0,2063.45,44.0,False,202508-202607
todas as atividades,Florianópolis,513420,Barman,340,2158.47,1978.0,2146.0,2183.0,2211.18,44.0,False,202508-202607
todas as atividades,Fortaleza,513420,Barman,663,1682.24,1563.6,1674.49,1674.49,1720.85,44.0,False,202508-202607
todas as atividades,Goiânia,513420,Barman,635,1812.35,1635.87,1750.0,1890.0,1853.15,44.0,False,202508-202607
todas as atividades,João Pessoa,513420,Barman,263,1664.89,1563.0,1621.0,1665.0,1705.0,44.0,False,202508-202607
todas as atividades,Macapá,513420,Barman,47,1622.91,1580.0,1621.0,1621.0,1653.57,44.0,False,202508-202607
todas as atividades,Maceió,513420,Barman,232,1756.91,1580.0,1695.0,1695.0,1799.42,44.0,False,202508-202607
todas as atividades,Manaus,513420,Barman,241,1654.39,1593.9,1621.0,1621.0,1690.45,44.0,False,202508-202607
todas as atividades,Natal,513420,Barman,192,1672.56,1615.0,1649.33,1715.0,1712.44,44.0,False,202508-202607
todas as atividades,Palmas,513420,Barman,99,1716.33,1606.0,1725.0,1725.0,1750.89,44.0,False,202508-202607
todas as atividades,Porto Alegre,513420,Barman,295,1905.34,1770.85,1831.0,1930.0,1953.31,44.0,False,202508-202607
todas as atividades,Porto Velho,513420,Barman,65,1681.71,1598.0,1688.0,1706.5,1720.74,44.0,False,202508-202607
todas as atividades,Recife,513420,Barman,450,1749.66,1651.8,1700.0,1746.66,1789.36,44.0,False,202508-202607
todas as atividades,Rio Branco,513420,Barman,35,1637.74,1598.0,1621.0,1706.5,1672.72,44.0,False,202508-202607
todas as atividades,Rio de Janeiro,513420,Barman,1824,1869.07,1768.67,1769.0,1881.0,1910.27,44.0,False,202508-202607
todas as atividades,Salvador,513420,Barman,408,1719.28,1625.09,1625.09,1757.69,1761.46,44.0,False,202508-202607
todas as atividades,São Luís,513420,Barman,105,1716.65,1665.59,1665.59,1665.9,1759.18,44.0,False,202508-202607
todas as atividades,São Paulo,513420,Barman,2988,2131.89,1804.0,2022.09,2350.38,2180.0,44.0,False,202508-202607
todas as atividades,Teresina,513420,Barman,130,1647.37,1568.0,1675.0,1675.0,1685.37,44.0,False,202508-202607
todas as atividades,Vitória,513420,Barman,117,1795.25,1705.0,1732.94,1852.23,1834.97,44.0,False,202508-202607
todas as atividades,Aracaju,513435,Atendente de lanchonete,1475,1606.82,1560.0,1621.0,1621.0,1642.38,44.0,False,202508-202607
todas as atividades,Belo Horizonte,513435,Atendente de lanchonete,11836,1703.77,1609.94,1697.0,1791.33,1739.95,44.0,False,202508-202607
