tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,valor_original,valor
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,31,Minas Gerais,2023,2.2,2.2
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,31,Minas Gerais,2024,2.0,2.0
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,31,Minas Gerais,2025,2.1,2.1
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,32,Espírito Santo,2023,3.0,3.0
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,32,Espírito Santo,2024,3.1,3.1
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,32,Espírito Santo,2025,3.1,3.1
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,33,Rio de Janeiro,2023,2.4,2.4
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,33,Rio de Janeiro,2024,2.4,2.4
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,33,Rio de Janeiro,2025,3.2,3.2
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,35,São Paulo,2023,2.5,2.5
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,35,São Paulo,2024,2.3,2.3
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,35,São Paulo,2025,2.2,2.2
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,41,Paraná,2023,2.5,2.5
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,41,Paraná,2024,2.2,2.2
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,41,Paraná,2025,2.5,2.5
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,42,Santa Catarina,2023,1.7,1.7
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,42,Santa Catarina,2024,1.7,1.7
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,42,Santa Catarina,2025,1.4,1.4
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,43,Rio Grande do Sul,2023,1.9,1.9
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,43,Rio Grande do Sul,2024,2.1,2.1
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,43,Rio Grande do Sul,2025,2.1,2.1
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,50,Mato Grosso do Sul,2023,3.9,3.9
