tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,"Geral, grupo, subgrupo, item e subitem",valor_original,valor
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202410,Índice geral,0.80,0.8
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202411,Índice geral,0.41,0.41
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202412,Índice geral,0.80,0.8
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202501,Índice geral,-0.03,-0.03
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202502,Índice geral,1.16,1.16
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202503,Índice geral,0.31,0.31
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202504,Índice geral,0.14,0.14
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202505,Índice geral,0.49,0.49
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202506,Índice geral,0.16,0.16
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202507,Índice geral,-0.14,-0.14
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202508,Índice geral,-0.40,-0.4
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202509,Índice geral,0.75,0.75
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202510,Índice geral,0.96,0.96
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202511,Índice geral,0.44,0.44
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202512,Índice geral,0.23,0.23
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202601,Índice geral,0.22,0.22
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202602,Índice geral,0.70,0.7
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202603,Índice geral,0.40,0.4
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202604,Índice geral,1.12,1.12
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202605,Índice geral,0.77,0.77
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202606,Índice geral,0.26,0.26
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202607,Índice geral,0.00,0.0
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202608,Índice geral,-0.22,-0.22
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202309,Índice geral,0.29,0.29
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202310,Índice geral,0.62,0.62
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202311,Índice geral,0.40,0.4
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202312,Índice geral,0.78,0.78
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202401,Índice geral,-0.36,-0.36
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202402,Índice geral,0.75,0.75
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202403,Índice geral,0.21,0.21
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202404,Índice geral,0.55,0.55
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202405,Índice geral,0.34,0.34
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202406,Índice geral,0.34,0.34
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202407,Índice geral,0.36,0.36
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202408,Índice geral,0.17,0.17
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202409,Índice geral,0.26,0.26
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202410,Índice geral,0.68,0.68
7060,63,IPCA - Variação mensal,%,Município,5300108,Brasília - DF,202411,Índice geral,0.30,0.3
